state,inicio,varinicio,varfim,PT_V,id,VIR,inteiro,real,literal,leia,escreva,Lit,Num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,repita,fimrepita,fim,EOF
0,s.2,e.2,e.2,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc
2,,s.4,e.4,,,,,,,,,,,,,,,,,,,,,,
3,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,s.17,,s.10,
4,,,s.20,,,,s.22,s.23,s.24,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,r.1
6,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,s.17,,s.10,
7,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,s.17,,s.10,
8,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,s.17,,s.10,
9,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,s.17,,s.10,
10,,,,,,,,,,,,,,,,,,,,,,,,,r.38
11,,,,e.29,s.29,,,,,,,,,,,,,,,,,,,,
12,,,,e.31,s.33,,,,,,,s.31,s.32,,,,,,,,,,,,
13,,,,,e.34,,,,,,,,e.34,s.34,,,,,,,,,,,
14,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,s.39,,,,
15,,,,,s.13,,,,,s.11,s.12,,,,,s.16,,,,,,,s.44,,
16,,,,,e.45,,,,,,,,e.45,,,,s.45,,,,,,,,
17,,,,,e.46,,,,,,,,e.46,,,,s.46,,,,,,,,
18,,,,,r.2,,,,,r.2,r.2,,,,,r.2,,,,,,r.2,,r.2,
19,,,s.20,,,,s.22,s.23,s.24,,,,,,,,,,,,,,,,
20,,,,s.48,,,,,,,,,,,,,,,,,,,,,
21,,,,,s.50,,,,,,,,,,,,,,,,,,,,
22,,,,,r.8,,,,,,,,,,,,,,,,,,,,
23,,,,,r.9,,,,,,,,,,,,,,,,,,,,
24,,,,,r.10,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,r.11
26,,,,,,,,,,,,,,,,,,,,,,,,,r.17
27,,,,,,,,,,,,,,,,,,,,,,,,,r.23
28,,,,,,,,,,,,,,,,,,,,,,,,,r.31
29,,,,s.51,,,,,,,,,,,,,,,,,,,,,
30,,,,s.52,,,,,,,,,,,,,,,,,,,,,
31,,,,r.14,,,,,,,,,,,,,,,,,,,,,
32,,,,r.15,,,,,,,,,,,,,,,,,,,,,
33,,,,r.16,,,,,,,,,,,,,,,,,,,,,
